Polymer_Index R_g^2 N_3 Sample_Time(10^(-6)s)
0 39.7183 0 50
1 10.8896 2 54
2 21.0045 0 48
3 27.2209 0 47
4 31.9504 0 47
5 33.8917 0 62
6 34.4294 0 50
7 20.3445 0 47
8 24.8723 0 51
9 14.9111 0 49
10 21.2635 0 52
11 16.1062 0 51
12 19.8015 0 50
13 48.7537 0 57
14 7.94855 0 50
15 20.0847 0 53
16 14.0024 0 52
17 21.0578 0 51
18 13.3597 1 51
19 30.1159 1 51
20 30.0938 0 54
21 36.9653 0 50
22 18.6262 0 49
23 32.858 0 50
24 10.9885 0 61
25 15.9442 0 54
26 18.7949 0 49
27 18.0882 0 62
28 32.2912 1 50
29 21.0914 0 50
30 15.696 1 63
31 20.2554 0 51
32 45.652 0 50
33 12.7936 0 55
34 19.72 0 50
35 39.565 0 50
36 12.1296 0 50
37 22.3897 0 62
38 14.0469 0 49
39 13.1951 0 49
40 20.2828 0 49
41 13.6662 0 50
42 17.3008 0 64
43 11.441 0 50
44 16.9356 0 50
45 30.628 0 49
46 20.0417 0 49
47 21.9833 0 50
48 78.6432 0 49
49 12.0981 0 49
50 10.4383 1 52
51 21.0105 0 61
52 18.8105 0 49
53 25.5809 0 63
54 12.2271 0 49
55 20.1867 0 49
56 23.4306 0 46
57 35.9185 0 49
58 14.2659 0 47
59 33.4431 0 52
60 10.431 0 48
61 19.1931 0 47
62 12.3882 0 50
63 11.404 2 65
64 19.8011 1 61
65 19.5367 0 50
66 33.4117 0 47
67 10.7775 0 49
68 25.5858 0 47
69 23.3149 0 48
70 16.6718 0 46
71 15.5757 0 62
72 8.7771 0 55
73 25.6061 0 47
74 11.8931 0 62
75 17.5283 0 63
76 15.1151 0 44
77 13.062 0 50
78 18.4929 0 46
79 28.6878 0 47
80 23.186 0 49
81 14.218 0 49
82 36.8569 0 47
83 24.6033 0 72
84 28.3741 0 47
85 5.95557 0 45
86 22.0192 0 49
87 33.439 0 46
88 19.4344 0 46
89 28.7137 0 47
90 10.4837 0 46
91 13.8199 0 49
92 19.0589 0 50
93 18.3078 0 49
94 68.6711 0 67
95 7.06366 0 49
96 26.8254 0 49
97 9.64398 1 50
98 24.5628 0 49
99 18.8939 0 73
100 14.5485 2 51
101 41.3951 1 51
102 8.46741 0 49
103 29.1607 0 62
104 24.0652 0 54
105 10.9413 0 63
106 9.71259 0 49
107 57.7055 0 71
108 21.5455 0 49
109 12.2514 0 50
110 24.7049 0 47
111 16.8846 0 60
112 29.6713 0 55
113 10.3425 0 53
114 19.6726 0 49
115 14.9365 0 50
116 27.5749 0 49
117 13.6235 0 50
118 28.1477 0 49
119 23.9293 1 50
120 20.5644 0 49
121 13.027 0 70
122 16.7956 0 50
123 44.1602 0 49
124 21.5266 1 50
125 11.9195 0 49
126 20.0188 0 49
127 26.7945 0 49
128 23.8114 0 49
129 7.21307 0 50
130 23.951 0 50
131 6.88843 0 56
132 28.0604 0 59
133 25.6826 0 61
134 22.502 0 66
135 16.5602 0 49
136 11.8109 0 49
137 32.4861 0 49
138 20.9603 0 50
139 29.2164 0 70
140 7.87604 0 49
141 13.9608 0 49
142 11.5811 0 49
143 16.1741 0 62
144 5.76709 0 49
145 12.4624 0 49
146 40.8791 0 49
147 10.6188 0 61
148 21.1155 0 61
149 36.3565 0 49
150 13.9172 0 50
151 6.83746 0 49
152 11.6495 0 49
153 16.7225 0 50
154 15.8956 0 49
155 11.4814 0 49
156 24.5967 0 49
157 13.949 0 49
158 10.6924 1 49
159 35.1479 0 50
160 12.1606 0 49
161 16.3392 1 63
162 20.2879 0 49
163 14.7636 1 50
164 26.6701 0 46
165 13.9828 0 67
166 27.1039 0 49
167 11.8739 0 49
168 14.2458 0 62
169 9.01245 0 62
170 19.1924 1 50
171 14.6208 0 71
172 15.9559 0 49
173 48.2112 0 49
174 15.2822 0 49
175 24.0591 0 49
176 16.4782 0 49
177 19.3489 0 49
178 39.0865 0 49
179 31.1795 0 49
180 37.358 1 47
181 17.59 0 64
182 8.31195 0 49
183 19.4911 1 50
184 34.6824 0 51
185 19.6556 0 49
186 7.37665 1 50
187 31.222 0 49
188 15.5714 0 49
189 14.9738 0 49
190 14.72 0 49
191 8.914 0 49
192 43.1501 0 77
193 8.83051 0 49
194 27.4792 0 49
195 20.8397 0 49
196 33.7724 0 49
197 27.2979 0 49
198 40.4152 0 49
199 29.5528 0 49
200 15.5144 1 50
201 25.7746 0 49
202 18.2057 0 61
203 14.6042 0 61
204 25.3981 0 49
205 25.5364 0 49
206 10.0049 0 49
207 10.7298 0 49
208 20.7997 0 49
209 9.15961 0 49
210 22.0829 0 64
211 12.0165 0 49
212 23.5732 0 49
213 18.4918 0 49
214 6.33081 0 61
215 9.33459 0 49
216 11.3951 0 61
217 16.8056 0 50
218 6.34894 0 50
219 8.52899 0 50
220 16.14 0 55
221 12.3046 0 62
222 27.8693 0 49
223 11.1516 0 49
224 17.1028 0 62
225 27.2308 0 60
226 26.0488 0 62
227 25.0875 1 50
228 10.6152 0 60
229 7.07806 0 49
230 26.7023 0 50
231 33.3201 0 61
232 22.1189 0 55
233 31.561 0 49
234 29.6638 0 49
235 27.6832 0 49
236 19.9781 1 50
237 27.4172 1 49
238 20.7022 0 50
239 12.6096 0 52
240 53.0486 0 49
241 9.43866 0 50
242 20.8339 0 51
243 18.298 0 61
244 23.9 0 49
245 32.587 0 46
246 31.2425 0 62
247 38.6474 0 52
248 20.2098 0 67
249 16.4086 0 48
250 22.0068 0 45
251 12.9461 0 58
252 34.7094 0 49
253 16.9573 0 49
254 25.3161 0 47
255 58.6851 0 50
256 11.9257 0 62
257 13.2678 0 49
258 17.688 0 44
259 15.4796 0 50
260 19.7655 0 53
261 12.8066 0 65
262 27.6414 0 50
263 11.0106 0 50
264 14.8314 0 61
265 24.8401 1 62
266 26.8602 0 45
267 22.3229 0 50
268 20.7709 0 50
269 26.1985 1 50
270 14.6387 0 49
271 10.0476 1 48
272 12.8759 0 51
273 14.2607 0 46
274 21.9726 0 50
275 36.2417 0 77
276 19.8078 1 50
277 42.3788 0 55
278 33.006 0 49
279 28.3447 1 50
280 42.631 0 50
281 17.3577 0 50
282 12.6877 0 50
283 14.6111 0 68
284 24.9222 0 49
285 10.7269 0 50
286 24.5093 0 50
287 66.9623 0 61
288 14.235 0 50
289 8.13837 0 66
290 17.3696 0 49
291 7.78668 0 64
292 10.5599 0 62
293 15.467 0 55
294 32.7802 0 62
295 8.83527 0 50
296 39.6718 0 50
297 37.2286 0 49
298 23.9305 0 64
299 34.1301 0 49
300 13.5323 0 49
301 17.6045 1 50
302 18.6501 0 49
303 25.7209 0 49
304 36.3229 0 50
305 14.2249 0 49
306 17.383 0 49
307 16.3034 0 65
308 17.1708 0 49
309 8.81219 0 49
310 23.4945 0 50
311 23.5305 1 50
312 14.6658 0 62
313 21.1122 1 50
314 33.9178 0 62
315 33.4237 0 51
316 14.5598 1 48
317 14.0546 1 55
318 19.2039 0 50
319 9.8537 0 51
320 24.2082 0 49
321 44.3254 0 55
322 39.1778 0 47
323 14.6219 0 47
324 24.7923 0 62
325 36.9023 0 54
326 32.0599 0 60
327 24.0035 0 50
328 14.3098 0 50
329 48.8889 0 50
330 28.6495 0 50
331 8.06549 0 50
332 11.2847 0 50
333 34.9665 0 49
334 14.787 0 50
335 11.5473 0 49
336 19.5789 0 50
337 21.8461 0 50
338 17.7751 0 49
339 25.1141 0 49
340 11.2824 1 50
341 5.12238 1 50
342 12.2938 0 50
343 22.7321 0 49
344 12.3533 1 50
345 14.3185 0 49
346 10.6849 1 50
347 19.6628 0 49
348 10.1113 0 49
349 11.9091 0 49
350 11.4402 0 50
351 15.827 0 49
352 12.0417 0 50
353 24.543 0 50
354 32.4868 0 49
355 11.9639 1 50
356 18.7768 0 50
357 14.8096 0 55
358 10.4859 1 50
359 18.3835 0 50
360 19.8821 0 49
361 36.6341 0 49
362 27.67 0 50
363 13.1024 0 49
364 52.5869 0 49
365 37.12 1 50
366 10.3124 0 63
367 20.3082 0 49
368 18.2556 0 49
369 14.4861 0 49
370 3.18121 1 50
371 20.7849 0 49
372 9.30255 0 50
373 18.8058 0 50
374 11.6548 0 49
375 31.7747 0 50
376 10.3887 0 50
377 7.8399 0 60
378 7.40607 0 49
379 26.2435 0 49
380 7.79767 1 50
381 8.0697 1 50
382 23.6473 0 49
383 19.0362 0 46
384 24.2761 0 61
385 13.8354 0 54
386 12.9752 0 56
387 29.8109 0 61
388 31.2895 0 50
389 7.6983 0 50
390 11.7963 0 49
391 7.52631 1 55
392 9.61792 0 49
393 25.3045 0 49
394 6.93878 0 50
395 22.7945 0 63
396 21.4514 0 50
397 16.7263 0 50
398 36.7674 0 49
399 17.0033 1 50
400 15.1472 0 49
401 9.92743 1 50
402 38.0129 0 49
403 24.0073 0 50
404 10.8433 0 49
405 15.0709 0 50
406 36.2927 0 49
407 8.86334 1 50
408 26.0291 0 68
409 8.58685 0 49
410 17.6069 0 49
411 9.1911 1 50
412 36.3425 0 49
413 12.2321 1 50
414 12.8659 0 49
415 8.08429 0 49
416 11.2138 0 50
417 20.3051 0 57
418 40.0605 0 50
419 10.4048 0 49
420 22.6353 0 50
421 10.1929 0 50
422 39.9636 0 49
423 19.3138 0 50
424 45.346 0 49
425 13.8003 0 60
426 14.7684 0 49
427 18.0562 0 49
428 14.6975 0 49
429 11.4007 0 50
430 17.806 0 49
431 15.8965 0 50
432 25.4821 0 51
433 9.35626 0 49
434 30.6138 1 50
435 11.257 0 49
436 14.4693 1 50
437 17.0735 0 49
438 25.7896 0 50
439 26.5564 0 50
440 23.0737 0 50
441 53.9694 0 50
442 11.5862 0 50
443 35.864 0 50
444 13.3077 0 50
445 8.39996 0 50
446 18.8887 0 59
447 6.8913 0 49
448 9.70386 0 50
449 11.2573 0 49
450 14.8342 0 49
451 14.044 0 49
452 50.9395 1 50
453 10.9454 0 50
454 40.4607 0 49
455 11.5174 0 93
456 18.6922 0 50
457 25.6718 0 49
458 37.0068 0 49
459 22.111 0 49
460 22.4221 0 50
461 17.3226 0 49
462 24.5563 0 50
463 14.8965 0 49
464 8.21674 0 72
465 11.9503 0 49
466 22.6739 0 49
467 13.6414 0 50
468 12.301 0 49
469 17.8154 0 49
470 29.3245 0 46
471 15.2617 0 55
472 24.4358 0 49
473 11.6494 0 55
474 12.0286 0 49
475 8.13202 1 50
476 10.4802 0 50
477 61.1913 0 50
478 15.2415 0 50
479 17.3678 0 50
480 16.9129 0 50
481 35.5354 0 49
482 51.9572 0 50
