Polymer_Index R_g^2 N_3 Sample_Time(10^(-6)s)
0 5.02521 63 62
1 5.11011 63 62
2 6.66962 63 66
3 4.06097 63 61
4 3.4649 63 76
5 7.47241 63 62
6 5.96014 63 62
7 5.48456 63 62
8 4.61993 63 74
9 5.54706 63 62
10 8.51343 63 62
11 7.91437 63 71
12 5.66937 63 63
13 4.6228 63 62
14 4.21869 63 61
15 5.99591 63 78
16 3.54486 63 74
17 7.49945 63 74
18 8.03845 63 74
19 4.75861 63 61
20 4.97064 63 61
21 5.54694 63 70
22 5.83344 63 62
23 4.08612 63 62
24 3.38995 63 68
25 3.18427 63 75
26 6.57184 63 62
27 4.66388 63 85
28 4.90125 63 60
29 4.63104 63 62
30 7.54596 63 62
31 8.60907 63 75
32 4.81134 63 71
33 4.33496 63 74
34 4.35858 63 61
35 6.0141 63 62
36 5.40057 63 62
37 4.18884 63 61
38 2.95477 63 66
39 4.53729 63 74
40 8.30231 63 82
41 5.07587 63 62
42 3.95349 63 63
43 4.11835 63 62
44 7.68793 63 62
45 7.18317 63 60
46 3.69177 63 62
47 2.47479 63 63
48 8.7818 63 61
49 3.3158 63 75
50 4.08405 63 62
51 6.80548 63 62
52 11.1628 63 62
53 4.48248 63 61
54 3.50568 63 65
55 8.90546 63 76
56 3.81512 63 62
57 7.13843 63 62
58 4.77808 63 61
59 6.42657 63 62
60 4.95819 63 62
61 3.76208 63 67
62 6.2113 63 61
63 4.64899 63 73
64 5.15448 63 63
65 4.74872 63 62
66 7.57837 63 61
67 5.78638 63 61
68 6.79956 63 60
69 6.53363 63 82
70 8.85242 63 62
71 7.68396 63 62
72 8.82111 63 62
73 6.82489 63 62
74 3.09332 63 63
75 5.99969 63 81
76 4.20538 63 62
77 7.67517 63 61
78 5.41534 63 62
79 3.94702 63 62
80 8.88513 63 61
81 5.63269 63 60
82 8.9762 63 61
83 4.17181 63 61
84 6.68658 63 61
85 10.0037 63 61
86 7.20123 63 73
87 5.54352 63 62
88 3.81805 63 62
89 5.31427 63 62
90 6.86115 63 66
91 5.44818 63 62
92 8.06348 63 62
93 4.89734 63 62
94 7.00787 63 61
95 6.52014 63 74
96 7.82446 63 63
97 4.44049 63 66
98 3.38635 63 59
99 13.262 63 62
100 3.55682 63 78
101 4.99567 63 67
102 11.3267 63 62
103 7.20642 63 62
104 5.13171 63 61
105 3.37872 63 75
106 6.13641 63 75
107 3.43951 63 62
108 3.39459 63 62
109 5.23444 63 61
110 5.37872 63 61
111 3.89667 63 62
112 9.32281 63 74
113 6.95416 63 59
114 13.248 63 66
115 4.95673 63 60
116 6.6983 63 62
117 6.1167 63 66
118 8.62634 63 63
119 6.05792 63 74
120 3.92133 63 67
121 6.28192 63 62
122 6.03949 63 73
123 4.71698 63 63
124 4.42804 63 62
125 7.27142 63 64
126 9.86603 63 66
127 6.96307 63 62
128 4.45831 63 60
129 4.65356 63 65
130 3.37665 63 68
131 7.60785 63 95
132 4.51166 63 63
133 5.15253 63 62
134 6.13019 63 62
135 11.878 63 61
136 5.33832 63 73
137 12.5715 63 62
138 7.06415 63 61
139 4.98053 63 86
140 6.24603 63 75
141 5.27716 63 64
142 7.51892 63 76
143 4.81854 63 105
144 4.69226 63 63
145 7.02197 63 63
146 4.42596 63 71
147 4.52917 63 58
148 9.05066 63 63
149 9.55743 63 59
150 6.65753 63 59
151 5.00037 63 102
152 5.07623 63 74
153 7.96814 63 72
154 5.86273 63 77
155 5.11267 63 56
156 5.59113 63 61
157 5.8667 63 84
158 5.72687 63 62
159 4.58844 63 75
160 4.70966 63 68
161 5.4801 63 63
162 3.06781 63 59
163 8.06006 63 84
164 11.4197 63 71
165 5.67584 63 58
166 4.72577 63 62
167 3.73419 63 62
168 4.27478 63 58
169 5.78253 63 76
170 15.1373 63 72
171 5.55109 63 74
172 8.1275 63 63
173 5.58026 63 58
174 4.11139 63 72
175 5.49536 63 55
176 5.27271 63 74
177 3.98907 63 107
178 6.97339 63 74
179 4.88422 63 62
180 5.14423 63 67
181 11.605 63 62
182 4.21613 63 61
183 3.97253 63 62
184 4.21234 63 61
185 8.68542 63 61
186 9.73383 63 61
187 6.89514 63 61
188 4.80255 63 66
189 5.56232 63 74
190 14.7136 63 62
191 4.71613 63 61
192 6.65741 63 61
193 4.14948 63 95
194 6.33197 63 57
195 9.32758 63 60
196 6.18951 63 66
197 8.49969 63 65
198 7.17218 63 65
199 9.43036 63 82
200 4.5528 63 77
201 3.9881 63 65
202 5.8363 63 64
203 7.05554 63 90
204 4.3363 63 74
205 6.03314 63 63
206 5.99963 63 74
207 3.24493 63 64
208 5.52911 63 55
209 6.07513 63 74
210 4.14978 63 78
211 5.40631 63 63
212 6.49829 63 64
213 6.82269 63 65
214 4.86389 63 65
215 4.40631 63 63
216 6.30585 63 73
217 3.10565 63 58
218 5.40497 63 56
219 2.82977 63 77
220 5.94781 63 63
221 5.21039 63 62
222 9.36902 63 63
223 3.11298 63 63
224 4.685 63 63
225 9.59149 63 58
226 6.51056 63 57
227 9.82538 63 57
228 7.66351 63 63
229 5.05573 63 110
230 6.01398 63 65
231 9.33429 63 63
232 7.20587 63 61
233 7.59399 63 58
234 4.49225 63 59
235 6.58466 63 57
236 8.21783 63 56
237 3.48102 63 65
238 8.30707 63 68
239 4.47089 63 74
240 5.35187 63 75
241 5.0097 63 58
242 3.79816 63 64
243 3.00214 63 72
244 4.94086 63 88
245 7.00189 63 73
246 4.86835 63 58
247 4.46759 63 60
248 4.24957 63 73
249 6.40906 63 77
250 4.19513 63 73
251 4.27075 63 76
252 3.28754 63 63
253 4.55206 63 73
254 8.53156 63 58
255 4.53253 63 87
256 7.87787 63 57
257 8.75177 63 58
258 6.21674 63 62
259 4.82648 63 64
260 7.87994 63 63
261 6.04169 63 65
262 4.37329 63 64
263 7.91217 63 62
264 5.60065 63 95
265 5.85162 63 81
266 4.70135 63 87
267 5.00916 63 60
268 5.50995 63 59
269 5.58325 63 81
270 8.55573 63 58
271 3.19586 63 59
272 5.33356 63 88
273 4.96368 63 75
274 11.0372 63 63
275 4.7774 63 62
276 3.55359 63 86
277 4.25354 63 69
278 6.83771 63 74
279 8.24152 63 63
280 4.40973 63 63
281 4.65601 63 62
282 7.72491 63 62
283 4.10358 63 57
284 5.67194 63 73
285 8.78302 63 85
286 6.83539 63 62
287 8.79712 63 62
288 4.77533 63 62
289 3.43842 63 74
290 5.39948 63 62
291 6.09515 63 58
292 5.72235 63 75
293 5.76807 63 61
294 9.69623 63 62
295 3.96667 63 62
296 5.30548 63 58
297 4.08966 63 59
298 5.71643 63 73
299 6.13153 63 62
300 4.0954 63 63
301 6.60413 63 62
302 7.84369 63 62
303 9.3266 63 62
304 5.12183 63 61
305 6.82001 63 62
306 7.69977 63 57
307 7.63361 63 85
308 6.76239 63 75
309 10.9444 63 59
310 6.75385 63 58
311 6.22412 63 67
312 13.0867 63 59
313 4.6015 63 62
314 6.55548 63 61
315 6.01495 63 63
316 5.05255 63 62
317 5.20087 63 62
318 4.75604 63 62
319 4.133 63 62
320 3.5639 63 75
321 8.39606 63 62
322 5.60077 63 83
323 5.73907 63 62
324 7.65204 63 61
325 3.55298 63 62
326 5.20575 63 61
327 7.48444 63 62
328 3.87531 63 63
329 6.15326 63 62
330 9.99042 63 74
