Polymer_Index R_g^2 N_3 Sample_Time(10^(-6)s)
0 4.22266 0 18
1 14.0342 0 17
2 2.56348 0 16
3 3.14746 0 17
4 4.82031 0 16
5 5.07324 0 16
6 6.80078 0 16
7 8.50586 0 24
8 2.9541 0 18
9 5.06055 0 16
10 2.93555 0 16
11 2.12207 0 29
12 2.34668 0 16
13 4.22754 0 16
14 6.5127 0 16
15 2.49609 0 18
16 3.72461 0 16
17 3.90137 0 16
18 10.1816 0 17
19 7.85449 0 16
20 2.47168 0 16
21 4.89453 0 16
22 3.2168 0 16
23 6.8877 0 16
24 7.1543 0 19
25 7.92676 0 16
26 9.08496 0 16
27 3.94824 0 16
28 3.46191 0 15
29 8.51855 0 16
30 6.55957 0 24
31 4.71191 0 16
32 7.79297 0 18
33 4.71484 0 17
34 5.71191 0 18
35 8.07715 0 18
36 4.4873 0 17
37 3.55664 0 16
38 3.91699 0 16
39 11.2393 0 18
40 10.1104 0 16
41 4.38086 0 24
42 9.42285 0 18
43 3.12402 0 16
44 5.04395 0 16
45 3.81641 0 16
46 5.87109 0 16
47 2.99707 0 16
48 8.95215 0 16
49 6.12988 0 21
50 3.02441 0 16
51 4.89941 0 16
52 4.48145 0 17
53 7.41504 0 16
54 11.0215 0 16
55 4.16602 0 16
56 2.1123 0 16
57 4.31836 0 16
58 3.41113 0 16
59 6.19824 0 18
60 7.19043 0 16
61 3.72363 0 16
62 4.1377 0 18
63 4.86426 0 16
64 3.90527 0 29
65 3.63867 0 17
66 5.68555 0 16
67 7.43457 0 16
68 2.7041 0 17
69 5.68848 0 16
70 6.06543 0 16
71 2.84668 0 16
72 5.06641 0 17
73 2.68652 0 16
74 3.4834 0 16
75 7.38965 0 16
76 3.20605 0 18
77 6.46191 0 16
78 2.96094 0 16
79 4.41309 0 16
80 2.28809 0 28
81 3.23926 0 16
82 8.90039 0 29
83 8.55469 0 18
84 7.30859 0 16
85 3.6377 0 16
86 6.05957 0 20
87 3.15332 0 16
88 9.22754 0 16
89 6.80762 0 16
90 5.99316 0 16
91 2.87988 0 17
92 7.97559 0 16
93 7.64648 0 16
94 6.35742 0 16
95 2.47461 0 16
96 10.0186 0 16
97 9.71387 0 16
98 3.81934 0 16
99 3.24902 0 16
100 3.55566 0 16
101 13.1807 0 16
102 5.17578 0 16
103 12.1758 0 18
104 6.1875 0 16
105 3.69727 0 16
106 6.39746 0 16
107 7.24902 0 16
108 3.7666 0 17
109 3.32227 0 18
110 3.90137 0 16
111 5.19434 0 16
112 7.27441 0 16
113 6.2627 0 28
114 2.66504 0 16
115 5.77441 0 16
116 3.12305 0 25
117 9.47754 0 16
118 5.3252 0 17
119 4.11035 0 16
120 3.7998 0 17
121 3.33496 0 16
122 3.72949 0 16
123 4.00391 0 16
124 3.90527 0 15
125 4.20801 0 16
126 2.01465 0 17
127 5.86035 0 16
128 12.5342 0 16
129 4.42871 0 17
130 5.49902 0 29
131 8.6748 0 17
132 3.68555 0 16
133 3.57324 0 16
134 4.79395 0 16
135 6.38379 0 16
136 3.0459 0 16
137 5.67773 0 16
138 6.61035 0 16
139 7.98926 0 16
140 2.26074 0 16
141 3.24219 0 17
142 6.20703 0 16
143 3.6377 0 28
144 3.21582 0 16
145 4.69629 0 16
146 3.74902 0 16
147 5.16211 0 18
148 2.90918 0 16
149 8.31641 0 16
150 7.13184 0 16
151 3.88184 0 16
152 2.73438 0 16
153 3.41309 0 16
154 3.78809 0 16
155 8.57324 0 18
156 2.26465 0 16
157 6.3916 0 16
158 2.32324 0 16
159 6.33203 0 16
160 5.98145 0 16
161 4.8877 0 16
162 2.08984 0 16
163 5.59277 0 16
164 6.11816 0 16
165 4.42871 0 16
166 6.92676 0 16
167 7.16699 0 17
168 4.17871 0 16
169 2.8291 0 16
170 4.98535 0 16
171 2.80273 0 16
172 5.89844 0 16
173 4.70215 0 16
174 4.06348 0 16
175 4.2373 0 16
176 3.93359 0 17
177 2.04785 0 16
178 11.2266 0 16
179 3.36426 0 16
180 3.44238 0 16
181 10.4893 0 16
182 5.02148 0 17
183 9.10449 0 17
184 11.5576 0 16
185 6.84766 0 16
186 10.2764 0 16
187 5.27832 0 16
188 7.22266 0 16
189 5.67676 0 16
190 3.95996 0 30
191 2.19629 0 16
192 6.29004 0 16
193 4.71973 0 17
194 2.59277 0 16
195 2.8291 0 16
196 7.51465 0 16
197 2.78613 0 16
198 2.02051 0 16
199 2.17285 0 28
200 5.47754 0 28
201 8.49707 0 16
202 5.04199 0 16
203 6.24316 0 16
204 4.93262 0 16
205 6.39551 0 16
206 3.10547 0 16
207 3.47168 0 16
208 3.59277 0 16
209 5.48047 0 18
210 2.63086 0 17
211 3.55957 0 17
212 4.52051 0 16
213 6.28125 0 31
214 4.74316 0 16
215 8.11914 0 16
216 1.96484 0 16
217 5.31348 0 16
218 3.74512 0 16
219 3.03223 0 16
220 2.81934 0 16
221 8.12793 0 17
222 7.35449 0 16
223 3.61621 0 21
224 10.7666 0 16
225 5.05566 0 16
226 2.77539 0 16
227 5.54199 0 16
228 4.6084 0 16
229 4.26855 0 16
230 6.97363 0 16
231 3.90137 0 16
232 3.81934 0 16
233 7.51074 0 16
234 3.68457 0 21
235 4.1377 0 16
236 4.79395 0 16
237 5.03613 0 17
238 8.33887 0 16
239 5.81934 0 16
240 5.30664 0 16
241 10.0518 0 16
242 8.75879 0 16
243 7.30273 0 16
244 3.29785 0 16
245 1.96973 0 17
246 3.4502 0 16
247 5.72266 0 16
248 4.73535 0 16
249 4.53613 0 16
250 3.88965 0 17
251 3.45996 0 16
252 2.92676 0 16
253 4.94629 0 29
254 1.51074 0 16
255 5.5918 0 16
256 2.7041 0 16
257 3.40723 0 17
258 8.38184 0 16
259 5.23145 0 16
260 2.77441 0 16
261 4.81836 0 16
262 4.1748 0 16
263 2.05176 0 16
264 2.56055 0 16
265 2.16895 0 16
266 10.6787 0 16
267 2.87793 0 16
268 1.82715 0 17
269 5.5127 0 15
270 4.80957 0 16
271 4.0791 0 16
272 6.0166 0 16
273 6.20605 0 16
274 9.2373 0 16
275 5.92285 0 16
276 5.69824 0 16
277 10.6162 0 16
278 4.98535 0 16
279 2.89453 0 16
280 4.2998 0 16
281 6.87598 0 16
282 5.76465 0 16
283 6.02246 0 15
284 4.18652 0 16
285 3.24707 0 15
286 6.96777 0 16
287 1.96973 0 16
288 3.7168 0 16
289 3.69824 0 16
290 4.51562 0 16
291 4.64746 0 16
292 3.56934 0 16
293 7.21387 0 16
294 6.75586 0 16
295 4.44824 0 16
296 7.21777 0 16
297 5.24805 0 16
298 1.8418 0 16
299 3.88477 0 16
300 7.62012 0 16
301 15.9834 0 16
302 9.37598 0 16
303 2.64746 0 16
304 2.5625 0 16
305 4.83887 0 16
306 4.69434 0 18
307 6.18457 0 16
308 10.2334 0 16
309 4.24902 0 16
310 4.44629 0 16
311 5.57422 0 21
312 4.57617 0 16
313 7.1416 0 16
314 3.83887 0 16
315 4.73926 0 16
316 1.83887 0 16
317 2.83789 0 16
318 6.62988 0 16
319 1.72852 0 28
320 3.37988 0 16
321 4.50586 0 16
322 4.18262 0 16
323 3.29785 0 16
324 9.29199 0 16
325 4.47754 0 16
326 8.39551 0 16
327 2.80762 0 16
328 2.92188 0 16
329 14.0986 0 16
330 7.64941 0 16
331 2.9043 0 16
332 2.78613 0 16
333 2.02246 0 16
334 6.2002 0 16
335 4.15723 0 16
336 3.12012 0 16
337 6.27637 0 16
338 8.90137 0 16
339 3.69824 0 16
340 6.44141 0 16
341 3.19043 0 16
342 2.0752 0 16
343 2.20703 0 16
344 16.6641 0 16
345 2.0127 0 16
346 1.77051 0 16
347 6.73145 0 15
348 3.2041 0 16
349 7.99512 0 16
350 4.62109 0 16
351 1.82129 0 16
352 3.74316 0 16
353 3.32129 0 16
354 3.17871 0 16
355 2.91309 0 16
356 4.34082 0 16
357 4.90918 0 16
358 6.12793 0 16
359 3.61523 0 18
360 6.77051 0 16
361 3.93262 0 16
362 2.48926 0 16
363 4.75098 0 16
364 5.66113 0 16
365 5.40625 0 16
366 7.5752 0 16
367 6.31348 0 16
368 5.22559 0 16
369 5.02051 0 16
370 6.93262 0 16
371 6.66113 0 16
372 4.32324 0 16
373 6.20898 0 16
374 5.80957 0 16
375 11.2686 0 16
376 4.65234 0 16
377 3.60449 0 16
378 3.36719 0 15
379 2.78223 0 16
380 3.43848 0 28
381 4.30078 0 16
382 4.94434 0 16
383 5.78418 0 16
384 6.45312 0 16
385 4.75293 0 25
386 12.7881 0 16
387 6.66504 0 16
388 5.00391 0 16
389 2.97363 0 16
390 2.47559 0 28
391 3.60547 0 16
392 4.90527 0 16
393 6.11719 0 16
394 3.15137 0 16
395 5.64453 0 16
396 1.87305 0 16
397 9.05078 0 16
398 6.52246 0 16
399 4.51465 0 22
400 1.81348 0 16
401 4.07129 0 16
402 1.61914 0 28
403 3.13379 0 16
404 2.2002 0 16
405 3.9873 0 16
406 4.69629 0 16
407 7.81348 0 16
408 3.32324 0 16
409 3.68652 0 16
410 5.25098 0 16
411 5.33984 0 16
412 3.33496 0 16
413 3.69336 0 15
414 3.27246 0 16
415 4.98145 0 16
416 5.37598 0 21
417 2.29102 0 16
418 8.1084 0 16
419 4.9502 0 16
420 9.15137 0 16
421 3.49121 0 16
422 2.80957 0 16
423 6.47363 0 29
424 5.2959 0 16
425 4.96973 0 29
426 5.97852 0 16
427 7.86621 0 16
428 4.7373 0 16
429 3.64941 0 16
430 7.66504 0 16
431 9.70605 0 16
432 1.94238 0 16
433 5.53613 0 16
434 3.5127 0 26
435 3.90137 0 16
436 2.10352 0 16
437 8.0918 0 16
438 3.5293 0 16
439 5.36621 0 16
440 2.99512 0 16
441 6.26855 0 16
442 5.93066 0 21
443 4.14453 0 16
444 3.70898 0 16
445 5.05273 0 16
446 2.5752 0 16
447 5.29395 0 16
448 2.0498 0 16
449 3.6709 0 19
450 6.80273 0 16
451 4.65137 0 16
452 3.81152 0 16
453 1.92285 0 16
454 5.11816 0 20
455 6.32715 0 16
456 2.52832 0 16
457 4.53613 0 16
458 3.82324 0 16
459 8.67871 0 25
460 5.88086 0 16
461 5.46191 0 16
462 6.28809 0 16
463 5.81836 0 16
464 6.2002 0 16
465 6.84766 0 16
466 4.41309 0 16
467 6.70996 0 16
468 2.05176 0 16
469 6.69141 0 16
470 9.32129 0 16
471 2.7041 0 16
472 3.45117 0 16
473 2.18457 0 16
474 7.79785 0 19
475 5.83887 0 16
476 3.7793 0 28
477 4.21289 0 16
478 2.5791 0 16
479 2.49023 0 16
480 8.07715 0 16
481 6.65137 0 16
482 3.67676 0 16
483 5.98145 0 16
484 3.69922 0 16
485 2.75098 0 16
486 4.88574 0 16
487 5.62402 0 16
488 4.96387 0 16
489 6.7041 0 16
490 11.0908 0 18
491 4.1709 0 16
492 6.02441 0 16
493 3.62305 0 29
494 13.0869 0 16
495 4.86523 0 16
496 4.38965 0 16
497 3.70215 0 16
498 6.61523 0 16
499 3.87207 0 16
500 7.81055 0 16
501 6.07129 0 16
502 3.13086 0 17
503 3.08301 0 16
504 4.0791 0 20
505 7.47559 0 16
506 3.74609 0 23
507 5.48047 0 16
508 4.05176 0 16
509 3.87305 0 16
510 3.53027 0 16
511 5.5166 0 16
512 7.44141 0 16
513 4.5791 0 17
514 10.7227 0 16
515 4.89746 0 16
516 8.96875 0 18
517 9.6748 0 16
518 9.33301 0 16
519 3.44629 0 16
520 6.35254 0 16
521 5.95801 0 16
522 8.31152 0 16
523 7.7373 0 16
524 4.86621 0 16
525 11.1865 0 16
526 5.28223 0 16
527 1.9873 0 16
528 4.59473 0 16
529 4.6748 0 16
530 2.27246 0 16
531 3.78809 0 33
532 7.78027 0 16
533 7.82227 0 16
534 5.85059 0 16
535 3.43262 0 16
536 2.65234 0 21
537 9.64746 0 16
538 5.81738 0 16
539 4.65723 0 16
540 5.32715 0 16
541 8.3623 0 16
542 4.21777 0 16
543 4.03613 0 16
544 3.35059 0 40
545 4.19238 0 16
546 11.21 0 16
547 5.6748 0 16
548 4.29785 0 16
549 3.65723 0 16
550 5.47559 0 16
551 4.77734 0 16
552 5.06152 0 28
553 2.87598 0 16
554 3.74707 0 29
555 5.71094 0 16
556 2.1123 0 16
557 9.74316 0 18
558 7.57715 0 16
559 5.00586 0 16
560 1.84473 0 21
561 3.32422 0 16
562 4.70801 0 16
563 6.45605 0 16
564 3.52441 0 16
565 11.3975 0 16
566 2.03418 0 16
567 2.22461 0 16
568 7.40723 0 16
569 2.90234 0 16
570 3.12598 0 28
571 4.7168 0 16
572 7.48535 0 16
573 4.56934 0 16
574 5.22363 0 28
575 2.7627 0 16
576 4.36523 0 16
577 3.16113 0 16
578 2.43848 0 16
579 3.97559 0 16
580 6.11621 0 16
581 8.90137 0 16
