Polymer_Index R_g^2 N_3 Sample_Time(10^(-6)s)
0 6.0918 11 34
1 2.05371 8 19
2 4.08496 8 19
3 3.16309 9 21
4 3.44336 10 33
5 2.26953 10 19
6 2.15918 11 19
7 2.64746 10 19
8 2.49805 9 19
9 2.09277 9 19
10 3.17676 10 36
11 3.91309 9 19
12 2.98828 10 19
13 3.66504 8 19
14 2.55859 10 19
15 2.96777 7 19
16 4.04004 11 19
17 1.82129 7 19
18 3.49316 7 19
19 1.87305 7 18
20 2.72168 8 20
21 3.3916 10 19
22 1.56152 7 21
23 5.45117 7 19
24 1.48145 9 19
25 2.61035 10 19
26 1.94824 8 20
27 6.77246 11 23
28 3.14746 9 20
29 2.19629 9 19
30 1.60059 7 20
31 1.58984 8 23
32 1.88965 10 19
33 2.91895 10 19
34 3.03613 9 21
35 2.19727 9 19
36 2.73926 7 32
37 3.81738 8 19
38 4.67676 10 19
39 1.73535 10 18
40 7.02441 9 30
41 8.16797 8 19
42 4.15332 9 18
43 4.55566 10 19
44 6.14941 5 18
45 3.24512 8 19
46 3.00098 11 19
47 7.20801 7 25
48 4.39746 7 21
49 1.85449 5 19
50 5.63965 6 22
51 3.33203 9 19
52 3.05078 5 20
53 3.15723 11 19
54 3.43457 9 20
55 4.63086 6 18
56 3.41895 10 20
57 3.43848 8 19
58 2.50684 9 19
59 4.29395 8 19
60 2.91602 5 17
61 3.99316 6 18
62 2.90527 8 33
63 2.56641 7 19
64 1.93262 7 20
65 6.9668 8 20
66 1.61914 7 19
67 3.47168 11 19
68 2.63574 9 19
69 3.48145 10 19
70 3.4873 9 20
71 2.40723 8 19
72 3.64941 9 19
73 1.46973 7 18
74 2.77637 8 19
75 3.16016 6 19
76 2.03809 7 19
77 3.37012 6 18
78 2.46582 7 20
79 2.7998 9 19
80 2.89648 11 21
81 1.77441 9 19
82 2.95898 5 31
83 3.67871 10 20
84 2.38574 9 19
85 2.98828 9 20
86 2.40332 10 19
87 6.36035 9 20
88 4.14941 8 18
89 3.10059 7 19
90 3.96582 7 19
91 6.50488 9 19
92 2.0166 8 19
93 2.43457 6 19
94 3.08496 10 19
95 1.84473 9 18
96 2.4248 8 20
97 2.42676 7 19
98 2.75293 6 18
99 2.52539 9 19
100 3.05859 9 19
101 2.31934 6 18
102 3.44238 10 19
103 2.93262 9 18
104 3.94238 8 31
105 4.10742 9 18
106 2.21777 8 18
107 3.92285 9 18
108 2.28418 11 19
109 5.46973 8 18
110 1.8252 7 18
111 3.41504 7 18
112 1.81738 8 19
113 2.86914 10 19
114 2.09668 6 18
115 3.77051 7 18
116 6.01953 8 19
117 3.79395 7 20
118 3.42871 10 23
119 4.20801 10 20
120 2.6416 9 19
121 2.3291 7 19
122 3.00488 8 20
123 3.5918 7 19
124 2.68555 8 19
125 4.74316 7 20
126 2.07324 8 19
127 3.03516 10 19
128 4.28613 8 20
129 2.05371 7 33
130 2.59473 9 19
131 1.90332 8 19
132 3.1416 8 19
133 2.16309 9 19
134 2.27637 7 26
135 1.87207 12 19
136 4.13184 9 18
137 1.79004 10 19
138 2.56348 9 19
139 4.56934 9 19
140 3.12988 8 18
141 3.33984 7 19
142 2.89355 11 19
143 2.81641 8 31
144 4.06934 9 19
145 1.58203 8 19
146 2.74316 11 19
147 3.42969 9 31
148 1.63574 6 18
149 4.29492 7 18
150 2.71777 11 19
151 2.23926 8 19
152 3.21582 9 19
153 2.16992 9 18
154 1.9541 7 18
155 3.70605 9 19
156 2.73828 9 19
157 4.20117 11 19
158 2.09668 9 18
159 8.53809 7 19
160 1.38574 7 18
161 5.22461 8 18
162 4.58887 8 19
163 3.24414 10 19
164 2.96387 7 18
165 5.72168 10 19
166 3.15332 7 18
167 3.67871 9 19
168 4.37402 8 18
169 5.89746 9 19
170 2.72949 9 19
171 4.68262 8 19
172 3.22754 8 18
173 1.52051 9 18
174 2.81055 8 18
175 2.52832 8 18
176 1.83887 8 19
177 5.3584 10 19
178 3.32617 8 19
179 2.53223 10 31
180 3.3623 7 18
